Year,Rank,Company,Revenue,PAT,MCAP
2018,1,Indian Oil Corporation Ltd.,424321.37,22189.45,130903.64
2018,2,Reliance Industries Ltd.,410295,36075,697852.58
2018,3,Oil And Natural Gas Corporation Ltd.,333143.09,22105.93,203147.13
2018,4,State Bank of India,306527.52,-4556.29,235872.93
2018,5,Tata Motors Ltd.,301174.85,8988.91,54304.18
2018,6,Bharat Petroleum Corporation Ltd.,238638.07,9008.63,62627.8
2018,7,Hindustan Petroleum Corporation Ltd.,221693.11,7218.28,32416.01
2018,8,Rajesh Exports Ltd.,187748.1,1265.79,17889.56
2018,9,Tata Steel Ltd.,147192.09,13434.33,67922.8
2018,10,Coal India Ltd.,132897.34,7020.34,170587.02
2017,1,Indian Oil Corporation Ltd.,359822.56,19849.49,200648.22
2017,2,Reliance Industries Ltd.,314717,29901,560000.93
2017,3,State Bank of India,298640.45,241.23,230736.03
2017,4,Tata Motors Ltd.,271629.22,7454.36,122713.1
2017,5,Rajesh Exports Ltd.,242179.13,1243.63,23937.76
2017,6,Bharat Petroleum Corporation Ltd.,204241.8,9506.97,109252.65
2017,7,Hindustan Petroleum Corporation Ltd.,191196.26,8235.82,69244.29
2017,8,Oil And Natural Gas Corporation Ltd.,136367.32,20497.87,223946.46
2017,9,Coal India Ltd.,124976.54,9265.98,176793.24
2017,10,Tata Consultancy Services Ltd.,122187,26289,485395.17
2016,1,Indian Oil Corporation Ltd.,366499,11219,154949
2016,2,Reliance Industries Ltd.,284790,27630,348859
2016,3,Tata Motors Ltd.,276543,11024,158057
2016,4,State Bank of India,272871,12225,199578
2016,5,Bharat Petroleum Corporation Ltd.,190392,7982,95891
2016,6,Hindustan Petroleum Corporation Ltd.,188736,4921,45343
2016,7,Rajesh Exports Ltd.,165220,1069,14304
2016,8,Oil And Natural Gas Corporation Ltd.,139364,14124,238144
2016,9,Tata Steel Ltd.,128388,-3049,39696
2016,10,Tata Consultancy Services Ltd.,111700,24292,471205
2015,1,Indian Oil Corporation Ltd.,461765.33,4912.02,96444.24
2015,2,Reliance Industries Ltd.,384048,23566,276995.35
2015,3,Tata Motors Ltd.,263695.07,13986.29,93712.74
2015,4,State Bank of India,257289.51,16994.3,177643.03
2015,5,Bharat Petroleum Corporation Ltd.,244718.55,4806.57,61905.05
2015,6,Hindustan Petroleum Corporation Ltd.,218458.93,1498.58,26490.01
2015,7,Oil And Natural Gas Corporation Ltd.,166883.65,18333.52,196857.32
2015,8,Tata Steel Ltd.,142762.11,-3925.52,21740.27
2015,9,Hindalco Industries Ltd.,105658.99,854.21,15393.03
2015,10,Tata Consultancy Services Ltd.,98368.07,19852.18,501044.76
2014,1,Indian Oil Corporation Ltd.,499720.45,7085.59,84008.35
2014,2,Reliance Industries Ltd.,443461,22493,320987.69
2014,3,Bharat Petroleum Corporation Ltd.,265806.38,3910.68,45429.97
2014,4,Hindustan Petroleum Corporation Ltd.,235518.42,1080.37,14578.29
2014,5,Tata Motors Ltd.,233662.25,13991.02,155333.02
2014,6,State Bank of India,226944.57,14173.78,182523.79
2014,7,Oil And Natural Gas Corporation Ltd.,181408.75,26506.53,352969.84
2014,8,Tata Steel Ltd.,149148.56,3594.89,52349.5
2014,9,Essar Oil Ltd.,99473,126,18011.59
2014,10,Hindalco Industries Ltd.,88712.69,2175.01,37441.71
