Rank,Company,Revenue,PAT,MCAP
1,Indian Oil Corporation Ltd.,461765.33,4912.02,96444.24
2,Reliance Industries Ltd.,384048.00,23566.00,276995.35
3,Tata Motors Ltd.,263695.07,13986.29,93712.74
4,State Bank of India,257289.51,16994.30,177643.03
5,Bharat Petroleum Corporation Ltd.,244718.55,4806.57,61905.05
6,Hindustan Petroleum Corporation Ltd.,218458.93,1498.58,26490.01
7,Oil And Natural Gas Corporation Ltd.,166883.65,18333.52,196857.32
8,Tata Steel Ltd.,142762.11,-3925.52,21740.27
9,Hindalco Industries Ltd.,105658.99,854.21,15393.03
10,Tata Consultancy Services Ltd.,98368.07,19852.18,501044.76
11,Bharti Airtel Ltd.,95390.70,5183.50,138084.19
12,Larsen & Toubro Ltd.,93359.43,4795.14,142643.98
13,ICICI Bank Ltd.,90216.24,12246.87,155687.16
14,Essar Oil Ltd.,88090.63,1526.55,29017.00
15,NTPC Ltd.,83243.17,9986.34,99737.08
16,Coal India Ltd.,80696.34,13726.70,211552.27
17,Vedanta Ltd.,76686.70,-15645.77,28160.20
18,Mahindra & Mahindra Ltd.,72748.52,3137.47,73163.69
19,Adani Enterprises Ltd.,65545.54,1948.05,8213.03
20,GAIL (India) Ltd.,61645.86,3160.05,36875.66
21,HDFC Bank Ltd.,60212.17,10688.89,257537.54
22,Mangalore Refinery And Petrochemicals Ltd.,57992.37,-1803.29,9113.52
23,Infosys Ltd.,56749.00,12372.00,252702.35
24,Punjab National Bank,54884.42,3399.59,24918.20
25,JSW Steel Ltd.,53082.95,1796.57,22239.69

1,Indian Oil Corporation Ltd.,424321.37,22189.45,130903.64
2,Reliance Industries Ltd.,410295.00,36075.00,697852.58
3,Oil And Natural Gas Corporation Ltd.,333143.09,22105.93,203147.13
1,Indian Oil Corporation Ltd.,499720.45,7085.59,84008.35
1,Indian Oil Corporation Ltd.,359822.56,19849.49,200648.22
4,State Bank of India,306527.52,-4556.29,235872.93
5,Tata Motors Ltd.,301174.85,8988.91,54304.18
2,Reliance Industries Ltd.,443461.00,22493.00,320987.69
2,Reliance Industries Ltd.,314717.00,29901.00,560000.93
3,State Bank of India,298640.45,241.23,230736.03
6,Bharat Petroleum Corporation Ltd.,238638.07,9008.63,62627.80
7,Hindustan Petroleum Corporation Ltd.,221693.11,7218.28,32416.01
3,Bharat Petroleum Corporation Ltd.,265806.38,3910.68,45429.97
4,Hindustan Petroleum Corporation Ltd.,235518.42,1080.37,14578.29
4,Tata Motors Ltd.,271629.22,7454.36,122713.10
5,Rajesh Exports Ltd.,242179.13,1243.63,23937.76
8,Rajesh Exports Ltd.,187748.10,1265.79,17889.56
9,Tata Steel Ltd.,147192.09,13434.33,67922.80
10,Coal India Ltd.,132897.34,7020.34,170587.02
5,Tata Motors Ltd.,233662.25,13991.02,155333.02
6,State Bank of India,226944.57,14173.78,182523.79
6,Bharat Petroleum Corporation Ltd.,204241.80,9506.97,109252.65
7,Hindustan Petroleum Corporation Ltd.,191196.26,8235.82,69244.29
11,Tata Consultancy Services Ltd.,126745.00,25826.00,741465.69
12,Larsen & Toubro Ltd.,122743.13,7369.86,172571.02
7,Oil And Natural Gas Corporation Ltd.,181408.75,26506.53,352969.84
8,Tata Steel Ltd.,149148.56,3594.89,52349.50
8,Oil And Natural Gas Corporation Ltd.,136367.32,20497.87,223946.46
13,Hindalco Industries Ltd.,120428.30,6082.92,51407.54
14,ICICI Bank Ltd.,118969.10,7712.19,206170.67
9,Essar Oil Ltd.,99473.00,126.00,18011.59
10,Hindalco Industries Ltd.,88712.69,2175.01,37441.71
9,Coal India Ltd.,124976.54,9265.98,176793.24
10,Tata Consultancy Services Ltd.,122187.00,26289.00,485395.17
11,ICICI Bank Ltd.,113397.63,10188.38,178067.84
15,Vedanta Ltd.,102192.00,10342.00,80083.53
16,HDFC Bank Ltd.,101344.44,18510.02,535071.99
11,Bharti Airtel Ltd.,87151.70,3266.10,148481.32
12,Larsen & Toubro Ltd.,86471.81,4922.81,138920.42
12,Tata Steel Ltd.,112943.11,-4240.80,68028.13
13,Larsen & Toubro Ltd.,110834.25,5899.27,162496.01
17,Mahindra & Mahindra Ltd.,96377.03,7510.39,94409.50
18,NTPC Ltd.,90144.36,10543.95,134681.74
13,Tata Consultancy Services Ltd.,83446.10,19163.87,487972.48
14,NTPC Ltd.,81818.29,11403.61,116148.15
14,Hindalco Industries Ltd.,101413.26,1899.74,58825.31
15,Bharti Airtel Ltd.,99662.80,3799.80,177409.61
19,Bharti Airtel Ltd.,86704.30,1099.00,118558.13
15,ICICI Bank Ltd.,79563.86,11041.37,173100.24
16,Coal India Ltd.,77890.62,15111.59,227400.60
16,HDFC Bank Ltd.,86148.98,15253.03,470632.12
17,Mahindra & Mahindra Ltd.,85849.66,3698.04,83218.08
20,Maruti Suzuki India Ltd.,81977.70,7880.00,209188.24
21,Infosys Ltd.,73762.00,16029.00,300131.90
17,Mahindra & Mahindra Ltd.,74874.20,4666.93,80990.65
18,Mangalore Refinery And Petrochemicals Ltd.,72246.85,601.18,11058.44
18,NTPC Ltd.,83819.17,10719.64,145761.18
19,Vedanta Ltd.,76805.62,5512.21,121923.23
22,Housing Development Finance Corporation Ltd.,72596.00,16254.96,294154.67
23,JSW Steel Ltd.,70148.00,6214.00,87475.01
19,Vedanta Ltd.,68225.88,6298.51,84437.78
20,GAIL (India) Ltd.,63168.72,4786.22,53778.54
20,Infosys Ltd.,71534.00,14353.00,213167.09
21,Maruti Suzuki India Ltd.,70547.40,7511.00,239033.19
24,Axis Bank Ltd.,58476.68,455.82,146568.87
25,Steel Authority of India (SAIL) Ltd.,57626.47,-281.40,27114.96
21,Adani Enterprises Ltd.,56225.86,2220.77,52179.72
22,Infosys Ltd.,52797.00,10656.00,204019.61
22,Housing Development Finance Corporation Ltd.,61087.63,11051.12,277003.47
23,Wipro Ltd.,57995.10,8493.10,141818.07
23,JSW Steel Ltd.,51305.43,451.95,29550.59
24,HDFC Bank Ltd.,50852.52,8743.49,198306.51
24,Axis Bank Ltd.,57596.69,3953.03,118895.65
25,Punjab National Bank,57225.66,1187.24,32058.10
25,Punjab National Bank,49668.43,3617.07,34095.37
1,Indian Oil Corporation Ltd.,366499.00,11219.00,154949.00
2,Reliance Industries Ltd.,284790.00,27630.00,348859.00
3,Tata Motors Ltd.,276543.00,11024.00,158057.00
4,State Bank of India,272871.00,12225.00,199578.00
5,Bharat Petroleum Corporation Ltd.,190392.00,7982.00,95891.00
6,Hindustan Petroleum Corporation Ltd.,188736.00,4921.00,45343.00
7,Rajesh Exports Ltd.,165220.00,1069.00,14304.00
8,Oil And Natural Gas Corporation Ltd.,139364.00,14124.00,238144.00
9,Tata Steel Ltd.,128388.00,-3049.00,39696.00
10,Tata Consultancy Services Ltd.,111700.00,24292.00,471205.00
11,Bharti Airtel Ltd.,104971.00,4457.00,125503.00
12,Larsen & Toubro Ltd.,104173.00,5091.00,137238.00
13,ICICI Bank Ltd.,101396.00,10180.00,154498.00
14,Hindalco Industries Ltd.,101258.00,45.00,31656.00
15,Coal India Ltd.,83713.00,14274.00,201002.00
16,NTPC Ltd.,80183.00,10183.00,123322.00
17,Mahindra & Mahindra Ltd.,78562.00,3211.00,83748.00
18,HDFC Bank Ltd.,74373.00,12801.00,321960.00
19,Vedanta Ltd.,68888.00,-9323.00,58488.00
20,Infosys Ltd.,65569.00,13678.00,235984.00
21,Maruti Suzuki India Ltd.,59084.00,4699.00,172811.00
22,Punjab National Bank,57780.00,-3690.00,30327.00
23,GAIL (India) Ltd.,55719.00,2252.00,53824.00
24,Wipro Ltd.,54096.00,8960.00,116304.00
