Rank,Company,Revenue,PAT,MCAP
1,Indian Oil Corporation Ltd.,366499.00,11219.00,154949.00
2,Reliance Industries Ltd.,284790.00,27630.00,348859.00
3,Tata Motors Ltd.,276543.00,11024.00,158057.00
4,State Bank of India,272871.00,12225.00,199578.00
5,Bharat Petroleum Corporation Ltd.,190392.00,7982.00,95891.00
6,Hindustan Petroleum Corporation Ltd.,188736.00,4921.00,45343.00
7,Rajesh Exports Ltd.,165220.00,1069.00,14304.00
8,Oil And Natural Gas Corporation Ltd.,139364.00,14124.00,238144.00
9,Tata Steel Ltd.,128388.00,-3049.00,39696.00
10,Tata Consultancy Services Ltd.,111700.00,24292.00,471205.00
11,Bharti Airtel Ltd.,104971.00,4457.00,125503.00
12,Larsen & Toubro Ltd.,104173.00,5091.00,137238.00
13,ICICI Bank Ltd.,101396.00,10180.00,154498.00
14,Hindalco Industries Ltd.,101258.00,45.00,31656.00
15,Coal India Ltd.,83713.00,14274.00,201002.00
16,NTPC Ltd.,80183.00,10183.00,123322.00
17,Mahindra & Mahindra Ltd.,78562.00,3211.00,83748.00
18,HDFC Bank Ltd.,74373.00,12801.00,321960.00
19,Vedanta Ltd.,68888.00,-9323.00,58488.00
20,Infosys Ltd.,65569.00,13678.00,235984.00
21,Maruti Suzuki India Ltd.,59084.00,4699.00,172811.00
22,Punjab National Bank,57780.00,-3690.00,30327.00
23,GAIL (India) Ltd.,55719.00,2252.00,53824.00
24,Wipro Ltd.,54096.00,8960.00,116304.00
25,Housing Development Finance Corporation Ltd.,53257.00,10190.00,216966.00

1,Indian Oil Corporation Ltd.,461765.33,4912.02,96444.24
2,Reliance Industries Ltd.,384048.00,23566.00,276995.35
3,Tata Motors Ltd.,263695.07,13986.29,93712.74
4,State Bank of India,257289.51,16994.30,177643.03
5,Bharat Petroleum Corporation Ltd.,244718.55,4806.57,61905.05
6,Hindustan Petroleum Corporation Ltd.,218458.93,1498.58,26490.01
7,Oil And Natural Gas Corporation Ltd.,166883.65,18333.52,196857.32
8,Tata Steel Ltd.,142762.11,-3925.52,21740.27
9,Hindalco Industries Ltd.,105658.99,854.21,15393.03
10,Tata Consultancy Services Ltd.,98368.07,19852.18,501044.76
11,Bharti Airtel Ltd.,95390.70,5183.50,138084.19
12,Larsen & Toubro Ltd.,93359.43,4795.14,142643.98
13,ICICI Bank Ltd.,90216.24,12246.87,155687.16
14,Essar Oil Ltd.,88090.63,1526.55,29017.00
15,NTPC Ltd.,83243.17,9986.34,99737.08
16,Coal India Ltd.,80696.34,13726.70,211552.27
17,Vedanta Ltd.,76686.70,-15645.77,28160.20
18,Mahindra & Mahindra Ltd.,72748.52,3137.47,73163.69
19,Adani Enterprises Ltd.,65545.54,1948.05,8213.03
20,GAIL (India) Ltd.,61645.86,3160.05,36875.66
21,HDFC Bank Ltd.,60212.17,10688.89,257537.54
22,Mangalore Refinery And Petrochemicals Ltd.,57992.37,-1803.29,9113.52
23,Infosys Ltd.,56749.00,12372.00,252702.35
24,Punjab National Bank,54884.42,3399.59,24918.20
25,JSW Steel Ltd.,53082.95,1796.57,22239.69
